,title,extract,vectored
0,Film,"A film – also called a movie, motion picture, moving picture, picture, photoplay or (slang) flick – is a work of visual art that simulates experiences and otherwise communicates ideas, stories, perceptions, feelings, beauty, or atmosphere through the use of moving images. These images are generally accompanied by sound and, more rarely, other sensory stimulations. The word ""cinema"", short for cinematography, is often used to refer to filmmaking and the film industry, and to the art form that is the result of it.","['film', 0.06911999732255936, 0.22158999741077423, -0.666130006313324, -0.1406099945306778, 0.06336499750614166, 0.4174700081348419, -0.21723000705242157, -1.0400999784469604, 0.026069000363349915, 1.3381999731063843, -0.08364199846982956, 0.6632400155067444, -0.4598900079727173, 0.9588299989700317, 1.31850004196167, -0.6252300143241882, 0.5615299940109253, 0.6528800129890442, -1.2364000082015991, 0.2969200015068054, 1.2380000352859497, 0.8062099814414978, 0.40966999530792236, 0.39945000410079956, 0.5798299908638, -1.3658000230789185, -1.6763999462127686, 0.06971800327301025, -0.596340000629425, -0.6311699748039246, 2.589400053024292, -0.5691499710083008, 0.4687899947166443, -0.9248999953269958, -0.446289986371994, 0.4228299856185913, 0.17636999487876892, -0.01445899996906519, -0.7535799741744995, -0.9785000085830688, 0.023074999451637268, 1.2226999998092651, -0.17517000436782837, -1.5743000507354736, -0.953499972820282, -0.10959000140428543, 0.245169997215271, -0.935509979724884, -0.20942999422550201, 0.6733300089836121]"
1,Photograph,"A photograph is an image created by light falling on a photosensitive surface, usually photographic film or an electronic image sensor, such as a CCD or a CMOS chip. Most photographs are now created using a smartphone/camera, which uses a lens to focus the scene's visible wavelengths of light into a reproduction of what the human eye would see. The process and practice of creating such images is called photography.","['photograph', -0.05618499964475632, 1.0160000324249268, 0.4114600121974945, -0.3913100063800812, 0.9198600053787231, -0.017666000872850418, -1.0757999420166016, -0.6164600253105164, 0.29690998792648315, -0.2931100130081177, -0.05523199960589409, -0.15626999735832214, 0.18752999603748322, 0.6534900069236755, 0.5967199802398682, -0.2364799976348877, -1.1749000549316406, -0.6941499710083008, -0.2496200054883957, -0.32958000898361206, 0.25672999024391174, 0.6438199877738953, 0.16288000345230103, -0.3623799979686737, 0.41527000069618225, -1.113700032234192, -1.3141000270843506, 0.8557599782943726, 0.2621400058269501, -0.5308399796485901, 0.8670600056648254, -0.7618899941444397, -0.3523400127887726, -1.180799961090088, -0.5215399861335754, 0.7844399809837341, 0.5795199871063232, 0.0995590016245842, -1.003000020980835, -0.6442899703979492, 1.0144000053405762, 0.2879300117492676, -0.04956899955868721, -0.2948000133037567, 0.2798199951648712, -0.7367299795150757, 0.10894999653100967, -0.7937099933624268, 0.30583998560905457, -0.7108500003814697]"
2,Sovereignty,"Sovereignty is the defining authority within individual consciousness, social construct, or territory. Sovereignty entails hierarchy within the state, as well as external autonomy for states. In any state, sovereignty is assigned to the person, body, or institution that has the ultimate authority over other people in order to establish a law or change existing laws. In political theory, sovereignty is a substantive term designating supreme legitimate authority over some polity. In international law, sovereignty is the exercise of power by a state. De jure sovereignty refers to the legal right to do so; de facto sovereignty refers to the factual ability to do so. This can become an issue of special concern upon the failure of the usual expectation that de jure and de facto sovereignty exist at the place and time of concern, and reside within the same organization.","['sovereignty', -0.3148300051689148, 0.05750099942088127, -0.780239999294281, 0.9412400126457214, 1.079200029373169, -0.13835999369621277, 0.8385800123214722, 0.6244400143623352, 0.21480999886989594, -0.753849983215332, 0.692520022392273, -0.013925000093877316, 0.390610009431839, -0.32763999700546265, -0.44815000891685486, 1.1025999784469604, 0.5408700108528137, -1.200700044631958, 0.5633599758148193, 0.6451399922370911, -0.09165800362825394, 0.4754599928855896, -0.614139974117279, -1.0361000299453735, 0.49529001116752625, -1.4773999452590942, -0.21252000331878662, -0.08385799825191498, 1.0140999555587769, 0.4946399927139282, 2.151599884033203, -0.05485299974679947, -1.422700047492981, -0.021181000396609306, -1.1634999513626099, -0.8316400051116943, -0.4457800090312958, -0.9611999988555908, -1.5286999940872192, 0.06392499804496765, -0.22359000146389008, -0.7712399959564209, 0.8989499807357788, -0.006519199814647436, -1.968500018119812, -0.5038099884986877, -1.1547000408172607, 0.7778900265693665, 0.011005000211298466, -1.1740000247955322]"
3,Indigenous,"Indigenous may refer to:Indigenous peoples
Indigenous (ecology), presence in a region as the result of only natural processes, with no human intervention
Indigenous (band), an American blues-rock band
Indigenous (horse), a Hong Kong racehorse
Indigenous (film), Australian, 2016","['indigenous', -0.34716999530792236, -0.45923998951911926, -1.0185999870300293, 0.6956999897956848, 0.30313000082969666, 0.5229200124740601, -0.7511900067329407, -0.8174899816513062, -0.27636998891830444, 0.3696100115776062, 1.1115000247955322, -0.33125001192092896, 2.003999948501587, -0.5845800042152405, -0.3598499894142151, -0.44339999556541443, 0.5582200288772583, 0.19639000296592712, 0.2678700089454651, -0.07810600101947784, -1.3072999715805054, 0.3096199929714203, -0.06408999860286713, -0.11332999914884567, 0.7491199970245361, -0.04140400141477585, -0.25137001276016235, -1.4144999980926514, -0.35951998829841614, 0.16276000440120697, 2.6988000869750977, -0.249549999833107, -0.7898899912834167, -0.4617300033569336, -0.21286000311374664, 0.1780499964952469, -0.9887300133705139, -0.6636999845504761, -0.7401900291442871, 0.6522300243377686, -0.685920000076294, -0.17562000453472137, 0.6382399797439575, 0.1892700046300888, 0.24884000420570374, 0.307669997215271, -1.0006999969482422, 0.21629999577999115, -0.38666000962257385, -1.2405999898910522]"
4,Imperialism,"Imperialism is the state policy, practice, or advocacy of extending power and dominion, especially by direct territorial acquisition or by gaining political and economic control of other areas, often through employing hard power, but also soft power. While related to the concepts of colonialism and empire, imperialism is a distinct concept that can apply to other forms of expansion and many forms of government.","['imperialism', -1.073699951171875, -0.2643199861049652, -0.7192599773406982, -0.4439699947834015, -0.2873600125312805, -0.17810000479221344, 0.5932300090789795, -0.9089099764823914, -1.1684999465942383, 0.23978999257087708, -0.03472200036048889, 0.5909600257873535, -0.10499999672174454, 0.3094399869441986, -0.4822100102901459, -0.6507999897003174, 0.5097399950027466, -0.05250599980354309, -0.4081000089645386, 0.5970799922943115, -0.4406700134277344, -0.5461300015449524, -0.9230999946594238, -0.6474499702453613, 0.6233699917793274, -1.2611000537872314, -0.5674800276756287, -0.4917300045490265, 0.9621999859809875, 0.27978000044822693, 0.47071999311447144, -0.1254899948835373, -0.39208000898361206, -0.03965099900960922, -2.0081000328063965, -0.4931100010871887, -1.167799949645996, -0.7493600249290466, -1.132699966430664, 0.2923099994659424, 0.11574999988079071, -0.6244099736213684, 1.1593999862670898, 0.37323999404907227, 0.9314000010490417, 0.5767899751663208, -0.18196000158786774, 0.5091999769210815, -0.15464000403881073, -0.6617699861526489]"
5,Colonialism,"Colonialism is a practice or policy of control by one people or power over other people or areas, often by establishing colonies and generally with the aim of economic dominance. In the process of colonisation, colonisers may impose their religion, language, economics, and other cultural practices. The foreign administrators rule the territory in pursuit of their interests, seeking to benefit from the colonised region's people and resources. It is associated with but distinct from imperialism.","['colonialism', -0.4245400130748749, -0.7706500291824341, -1.6470999717712402, -0.8396000266075134, -0.6841800212860107, 0.31363001465797424, 0.41929998993873596, -1.1121000051498413, -0.9269999861717224, 0.06230299919843674, 0.49810001254081726, 0.24326999485492706, -0.30493998527526855, -0.33285000920295715, 0.4089600145816803, -0.2576900124549866, 0.5345399975776672, -0.7836099863052368, -0.10130000114440918, 0.8014900088310242, -1.082900047302246, 0.20461000502109528, -1.000100016593933, -0.5907899737358093, 0.5166599750518799, -0.6958299875259399, -0.54694002866745, -0.46595001220703125, 0.748960018157959, 1.0042999982833862, 0.806119978427887, -0.44099000096321106, -0.7354699969291687, 0.23548999428749084, -1.6765999794006348, -0.29506000876426697, -1.0443999767303467, -0.7559000253677368, -0.9379900097846985, -0.0969260036945343, -0.2154099941253662, -0.6835100054740906, 1.6115000247955322, 0.36904001235961914, 0.6111900210380554, 0.8513699769973755, -0.0012307999422773719, 0.1494400054216385, -0.2515699863433838, -1.6414999961853027]"
6,Country,"A country is a distinct part of the world, such as a state, nation, or other political entity. It may be a sovereign state or make up one part of a larger state. For example, the country of Japan is an independent, sovereign state, while the country of Wales is a component of a multi-part sovereign state, the United Kingdom. A country may be a historically sovereign area, a currently sovereign territory with a unified government, or a non-sovereign geographic region associated with certain distinct political, ethnic, or cultural characteristics.","['country', -0.13530999422073364, 0.15485000610351562, -0.07309000194072723, 0.03401299938559532, -0.05445700138807297, -0.20541000366210938, -0.6008599996566772, -0.2240699976682663, 0.42614999413490295, 0.04179999977350235, 0.1216999962925911, -0.5581700205802917, -0.08952999860048294, 0.008942600339651108, 0.5916399955749512, 0.3432900011539459, 0.6479799747467041, 0.30052000284194946, 0.4849399924278259, 0.16524000465869904, -0.07366400212049484, 0.31182000041007996, -0.08380299806594849, 0.2702600061893463, 0.10723999887704849, -1.770400047302246, -0.3623499870300293, -0.15810999274253845, 0.0600380003452301, 0.6787300109863281, 4.012400150299072, 0.43090999126434326, -0.2632499933242798, 0.05609999969601631, -0.400519996881485, -0.08848699927330017, -0.5533900260925293, -0.17892000079154968, -0.5737199783325195, -0.19628000259399414, -1.1624000072479248, 0.12144999951124191, 0.5584200024604797, -0.6194000244140625, -0.20973999798297882, 0.4989500045776367, -1.0743000507354736, -0.028168000280857086, -0.18904000520706177, -0.6769000291824341]"
7,Colonization,"Colonization, or colonisation, constitutes large-scale population movements wherein migrants maintain strong links with their, or their ancestors', former country – by such links, gain advantage over other inhabitants of the territory. When colonization takes place under the protection of colonial structures, it may be termed settler colonialism. This often involves the settlers dispossessing indigenous inhabitants, or instituting legal and other structures which disadvantage them.","['colonization', 1.010599970817566, -0.46498000621795654, -1.6998000144958496, -0.20444999635219574, -1.0765000581741333, 0.10480000078678131, -0.5059499740600586, 0.087227001786232, -0.17021000385284424, -0.025822000578045845, 1.0127999782562256, 0.5293599963188171, 0.5186799764633179, -0.13655999302864075, -0.10508999973535538, -0.21973000466823578, 0.5794199705123901, -0.6193299889564514, -0.695580005645752, 1.1268999576568604, -0.22889000177383423, -0.7004799842834473, -1.2015000581741333, -0.22867000102996826, 0.6980000138282776, -0.31025999784469604, -0.3166300058364868, -1.1233999729156494, 0.5097100138664246, 0.8556399941444397, 1.0872999429702759, -0.9091500043869019, -0.7382699847221375, -0.2935299873352051, -0.9229199886322021, -0.28169000148773193, -0.9150999784469604, -0.23920999467372894, -0.596750020980835, 0.5867400169372559, -0.4710899889469147, -0.9479399919509888, 0.9776800274848938, 0.10079000145196915, 0.11114999651908875, -0.0994729995727539, 0.5234599709510803, 0.04623299837112427, -0.359470009803772, -0.768530011177063]"
8,Agriculture,"Agriculture encompasses crop and livestock production, aquaculture, fisheries and forestry for food and non-food products. Agriculture was the key development in the rise of sedentary human civilization, whereby farming of domesticated species created food surpluses that enabled people to live in cities. While humans started gathering grains at least 105,000 years ago, nascent farmers only began planting them around 11,500 years ago. Sheep, goats, pigs and cattle were domesticated around 10,000 years ago. Plants were independently cultivated in at least 11 regions of the world. In the twentieth century, industrial agriculture based on large-scale monocultures came to dominate agricultural output.","['agriculture', -0.4391799867153168, -0.4744099974632263, -0.7864400148391724, 0.18403999507427216, -0.11721999943256378, 0.0036365000996738672, -1.1830999851226807, -1.2166999578475952, 0.5014100074768066, -0.9876300096511841, 0.4048199951648712, 0.056062001734972, 0.9373400211334229, -0.6918100118637085, 0.3043600022792816, 0.2951200008392334, 0.983240008354187, 0.33261001110076904, 1.014799952507019, 0.08775299787521362, 0.39699000120162964, -0.8102399706840515, 0.03233199939131737, -0.873420000076294, 0.6306899785995483, -0.48770999908447266, 0.6802600026130676, -0.4487600028514862, -0.3906500041484833, 1.1878000497817993, 2.9567999839782715, -0.5214899778366089, -0.23215000331401825, -0.2906000018119812, -0.368149995803833, 0.2817099988460541, -0.7129499912261963, 1.5370999574661255, 1.0723999738693237, 1.0160000324249268, -1.163699984550476, 0.17942999303340912, 0.47641000151634216, -0.6381400227546692, 0.8478500247001648, 0.13288000226020813, -0.885129988193512, 0.9532899856567383, 0.6621699929237366, 0.5673699975013733]"
9,Aquaculture,"Aquaculture, also known as aquafarming, is the controlled cultivation (""farming"") of aquatic organisms such as fish, crustaceans, mollusks, algae and other organisms of value such as aquatic plants. Aquaculture involves cultivating freshwater, brackish water and saltwater populations under controlled or semi-natural conditions, and can be contrasted with commercial fishing, which is the harvesting of wild fish. Mariculture, commonly known as marine farming, refers specifically to aquaculture practiced in seawater habitats and lagoons, opposed to in freshwater aquaculture. Pisciculture is a type of aquaculture that consists of fish farming to obtain fish products as food.","['aquaculture', 0.21112999320030212, -0.9101799726486206, -0.9216200113296509, 0.9420300126075745, -1.1309000253677368, -0.04495299980044365, -0.6454700231552124, -0.7721400260925293, 1.266700029373169, -0.2116599977016449, 0.27483001351356506, 0.7159199714660645, 1.92739999294281, 0.26229000091552734, -0.5786899924278259, 0.33138999342918396, 1.4564000368118286, 1.1234999895095825, -0.30583998560905457, 0.3238700032234192, 0.6296700239181519, -0.7770500183105469, 0.29892998933792114, -0.8940100073814392, 0.5621200203895569, 0.7846699953079224, 0.7484999895095825, -0.3475100100040436, 0.13504000008106232, 0.418969988822937, 1.142899990081787, -0.5001800060272217, 0.4929099977016449, 0.42063000798225403, -0.45190998911857605, 0.43417999148368835, -0.6850399971008301, 0.9344000220298767, 0.668150007724762, 0.29914000630378723, -1.1460000276565552, -0.44808000326156616, 0.46685999631881714, 0.6780800223350525, 0.6669300198554993, -0.26447001099586487, -0.3873000144958496, 0.5407000184059143, 0.12651999294757843, 0.7901099920272827]"
